"CODE_MUNI";"STATE";"REGION";"region"
2311009;"CE";23;"nao metropolitana"
3525854;"SP";35;"nao metropolitana"
3138005;"MG";31;"nao metropolitana"
3158805;"MG";31;"nao metropolitana"
2601805;"PE";26;"nao metropolitana"
4100459;"PR";41;"nao metropolitana"
5205208;"GO";52;"nao metropolitana"
1703107;"TO";17;"nao metropolitana"
3515194;"SP";35;"nao metropolitana"
3165701;"MG";31;"nao metropolitana"
2410306;"RN";24;"nao metropolitana"
2802700;"SE";28;"nao metropolitana"
2104503;"MA";21;"nao metropolitana"
2109551;"MA";21;"nao metropolitana"
2907707;"BA";29;"nao metropolitana"
2104909;"MA";21;"nao metropolitana"
5107263;"MT";51;"nao metropolitana"
2509008;"PB";25;"nao metropolitana"
2919603;"BA";29;"nao metropolitana"
4111308;"PR";41;"nao metropolitana"
2108405;"MA";21;"nao metropolitana"
4314456;"RS";43;"nao metropolitana"
4312377;"RS";43;"nao metropolitana"
2201101;"PI";22;"nao metropolitana"
2508000;"PB";25;"nao metropolitana"
5106455;"MT";51;"nao metropolitana"
2402105;"RN";24;"nao metropolitana"
3119005;"MG";31;"nao metropolitana"
5103957;"MT";51;"nao metropolitana"
2916708;"BA";29;"nao metropolitana"
5100102;"MT";51;"nao metropolitana"
3148202;"MG";31;"nao metropolitana"
4204194;"SC";42;"nao metropolitana"
4202438;"SC";42;"nao metropolitana"
2103158;"MA";21;"nao metropolitana"
2702504;"AL";27;"nao metropolitana"
2923035;"BA";29;"nao metropolitana"
2507804;"PB";25;"nao metropolitana"
2307908;"CE";23;"nao metropolitana"
2701902;"AL";27;"nao metropolitana"
4123105;"PR";41;"nao metropolitana"
2922730;"BA";29;"nao metropolitana"
3148509;"MG";31;"nao metropolitana"
3160801;"MG";31;"nao metropolitana"
3166006;"MG";31;"nao metropolitana"
3160108;"MG";31;"nao metropolitana"
2304905;"CE";23;"nao metropolitana"
2706109;"AL";27;"nao metropolitana"
1720499;"TO";17;"nao metropolitana"
3545100;"SP";35;"nao metropolitana"
1600212;"AP";16;"nao metropolitana"
1507961;"PA";15;"nao metropolitana"
3164506;"MG";31;"nao metropolitana"
2517001;"PB";25;"nao metropolitana"
3162450;"MG";31;"nao metropolitana"
3513306;"SP";35;"nao metropolitana"
5107578;"MT";51;"nao metropolitana"
4317558;"RS";43;"nao metropolitana"
3527702;"SP";35;"nao metropolitana"
2104305;"MA";21;"nao metropolitana"
3121803;"MG";31;"nao metropolitana"
2615904;"PE";26;"nao metropolitana"
4322152;"RS";43;"nao metropolitana"
3105707;"MG";31;"nao metropolitana"
2203404;"PI";22;"nao metropolitana"
2105948;"MA";21;"nao metropolitana"
1100908;"RO";11;"nao metropolitana"
2509800;"PB";25;"nao metropolitana"
3505005;"SP";35;"nao metropolitana"
4320578;"RS";43;"nao metropolitana"
2904506;"BA";29;"nao metropolitana"
3104809;"MG";31;"nao metropolitana"
2105963;"MA";21;"nao metropolitana"
2204808;"PI";22;"nao metropolitana"
2200707;"PI";22;"nao metropolitana"
4313086;"RS";43;"nao metropolitana"
4311122;"RS";43;"nao metropolitana"
2404101;"RN";24;"nao metropolitana"
5210604;"GO";52;"nao metropolitana"
3528304;"SP";35;"nao metropolitana"
4119657;"PR";41;"nao metropolitana"
3111903;"MG";31;"nao metropolitana"
4305587;"RS";43;"nao metropolitana"
2901957;"BA";29;"nao metropolitana"
4305132;"RS";43;"nao metropolitana"
4115507;"PR";41;"nao metropolitana"
5206305;"GO";52;"nao metropolitana"
3136603;"MG";31;"nao metropolitana"
1718840;"TO";17;"nao metropolitana"
2704609;"AL";27;"nao metropolitana"
3150406;"MG";31;"nao metropolitana"
2902302;"BA";29;"nao metropolitana"
2403707;"RN";24;"nao metropolitana"
2512804;"PB";25;"nao metropolitana"
4307450;"RS";43;"nao metropolitana"
2514909;"PB";25;"nao metropolitana"
2921054;"BA";29;"nao metropolitana"
2104073;"MA";21;"nao metropolitana"
4215356;"SC";42;"nao metropolitana"
2105989;"MA";21;"nao metropolitana"
2204659;"PI";22;"nao metropolitana"
2105807;"MA";21;"nao metropolitana"
3530904;"SP";35;"nao metropolitana"
1702158;"TO";17;"nao metropolitana"
4128633;"PR";41;"nao metropolitana"
1713809;"TO";17;"nao metropolitana"
2923506;"BA";29;"nao metropolitana"
2105922;"MA";21;"nao metropolitana"
2508208;"PB";25;"nao metropolitana"
4306700;"RS";43;"nao metropolitana"
3126752;"MG";31;"nao metropolitana"
2924702;"BA";29;"nao metropolitana"
2403509;"RN";24;"nao metropolitana"
2906899;"BA";29;"nao metropolitana"
2412807;"RN";24;"nao metropolitana"
3135902;"MG";31;"nao metropolitana"
3532306;"SP";35;"nao metropolitana"
3109808;"MG";31;"nao metropolitana"
2904803;"BA";29;"nao metropolitana"
3201803;"ES";32;"nao metropolitana"
1300060;"AM";13;"nao metropolitana"
4321493;"RS";43;"nao metropolitana"
4214151;"SC";42;"nao metropolitana"
4218954;"SC";42;"nao metropolitana"
4300554;"RS";43;"nao metropolitana"
2701506;"AL";27;"nao metropolitana"
2505808;"PB";25;"metropolitana"
4215554;"SC";42;"nao metropolitana"
4125902;"PR";41;"nao metropolitana"
1720978;"TO";17;"nao metropolitana"
3105301;"MG";31;"nao metropolitana"
2700904;"AL";27;"nao metropolitana"
1708304;"TO";17;"nao metropolitana"
2706000;"AL";27;"nao metropolitana"
