COD_UF;UF;COD_CIDADE;NOME_CIDADE;pop2018;area;hierarquia
35;SP;3532868;Nova Castilho;1255;183,396;Centro Local
29;BA;2909505;Cravolândia;5349;182,585;Centro Local
22;PI;2205300;Jerumenha;4457;1867,313;Centro Local
22;PI;2206902;Novo Oriente do Piauí;6575;525,906;Centro Local
31;MG;3170651;Vargem Grande do Rio Pardo;4987;491,512;Centro Local
31;MG;3150000;Pescador;4246;317,463;Centro Local
35;SP;3544707;Sagres;2435;147,935;Centro Local
22;PI;2202802;Conceição do Canindé;4798;824,729;Centro Local
52;GO;5205521;Colinas do Sul;3404;1708,187;Centro Local
21;MA;2109759;Santa Filomena do Maranhão;7719;623,214;Centro Local
22;PI;2203602;Eliseu Martins;4900;1090,450;Centro Local
25;PB;2512762;Riachão do Poço;4477;39,905;Centro Local
31;MG;3127339;Gameleiras;5122;1733,203;Centro Local
42;SC;4204756;Cunhataí;1957;54,811;Centro Local
31;MG;3144904;Nova Módica;3627;375,973;Centro Local
25;PB;2505279;Curral de Cima;5242;85,096;Centro Local
31;MG;3145505;Olímpio Noronha;2765;54,633;Centro Local
31;MG;3120300;Cristália;5960;840,702;Centro Local
42;SC;4205357;Flor do Sertão;1586;57,869;Centro Local
24;RN;2401602;Bento Fernandes;5469;301,069;Centro Local
29;BA;2919900;Macururé;7862;2545,856;Centro Local
22;PI;2202539;Caraúbas do Piauí;5845;471,242;Centro Local
31;MG;3162302;São João da Mata;2753;120,536;Centro Local
24;RN;2403301;Encanto;5608;125,749;Centro Local
15;PA;1507466;São João da Ponta;6059;195,918;Centro Local
41;PR;4116000;Miraselva;1816;90,294;Centro Local
22;PI;2202729;Cocal dos Alves;6140;324,863;Centro Local
25;PB;2514305;São José de Caiana;6255;176,327;Centro Local
31;MG;3115474;Catuti;5008;287,812;Centro Local
31;MG;3157278;Santa Bárbara do Monte Verde;3117;417,925;Centro Local
35;SP;3543238;Ribeirão dos Índios;2227;196,446;Centro Local
31;MG;3119609;Coronel Pacheco;3080;131,511;Centro Local
31;MG;3125200;Fama;2379;86,024;Centro Local
31;MG;3110806;Campanário;3711;442,398;Centro Local
24;RN;2413300;Serra de São Bento;5774;96,627;Centro Local
31;MG;3129657;Ibiracatu;5975;353,413;Centro Local
35;SP;3553658;Taquaral;2810;53,892;Centro Local
24;RN;2410504;Rafael Fernandes;5067;78,231;Centro Local
21;MA;2112274;Tufilândia;5826;271,007;Centro Local
29;BA;2924108;Pedrão;7298;158,488;Centro Local
31;MG;3161650;São Geraldo do Baixio;3963;280,954;Centro Local
31;MG;3140100;Marilac;4134;158,809;Centro Local
25;PB;2504207;Catingueira;4929;529,457;Centro Local
24;RN;2406809;Lajes Pintadas;4755;130,211;Centro Local
22;PI;2206357;Milton Brandão;6617;1309,128;Centro Local
17;TO;1703602;Brasilândia do Tocantins;2191;641,467;Centro Local
22;PI;2202109;Campinas do Piauí;5603;831,201;Centro Local
22;PI;2202174;Campo Largo do Piauí;7245;477,629;Centro Local
22;PI;2205516;Juazeiro do Piauí;5472;935,404;Centro Local
31;MG;3155108;Rio do Prado;5167;479,815;Centro Local
31;MG;3163300;São José do Divino;3865;328,704;Centro Local
42;SC;4207858;Irati;1952;78,039;Centro Local
