CODE_MUNI;YEAR;POPULACAO;CASESy;INCy
1300631;2014;17755;0;0
1300631;2015;18171;0;0
1300631;2016;18579;0;0
1300631;2017;18978;1;5,269259142
1300631;2018;19258;0;0
1300631;2019;19679;0;0
1300631;2020;20093;0;0
1300631;2021;20503;7;34,14134517
1300631;2022;20807;0;0
1300680;2014;17248;0;0
1300680;2015;17668;0;0
1300680;2016;18080;0;0
1300680;2017;18483;0;0
1300680;2018;18781;0;0
1300680;2019;19207;0;0
1300680;2020;19626;0;0
1300680;2021;20040;0;0
1300680;2022;24018;0;0
1300706;2014;33148;0;0
1300706;2015;33498;0;0
1300706;2016;33840;0;0
1300706;2017;34176;0;0
1300706;2018;33976;0;0
1300706;2019;34308;2;5,82954413
1300706;2020;34635;0;0
1300706;2021;34958;2;5,721151096
1300706;2022;35964;0;0
1300805;2014;38688;0;0
1300805;2015;39292;0;0
1300805;2016;39885;15;37,60812335
1300805;2017;40464;17;42,01265322
1300805;2018;40565;11;27,11697276
1300805;2019;41161;11;26,72432643
1300805;2020;41748;3;7,185972981
1300805;2021;42328;1;2,362502363
1300805;2022;33209;3;9,033695685
1300839;2014;12214;0;0
1300839;2015;12420;0;0
1300839;2016;12622;0;0
1300839;2017;12820;0;0
1300839;2018;12877;0;0
1300839;2019;13081;0;0
1300839;2020;13283;0;0
1300839;2021;13482;0;0
1300839;2022;13851;0;0
1300904;2014;14944;0;0
1300904;2015;15130;0;0
1300904;2016;15312;0;0
1300904;2017;15490;0;0
1300904;2018;15450;0;0
1300904;2019;15629;0;0
1300904;2020;15807;0;0
1300904;2021;15981;0;0
1300904;2022;17362;0;0
1301001;2014;27645;0;0
1301001;2015;27880;0;0
1301001;2016;28111;0;0
1301001;2017;28337;0;0
1301001;2018;28076;0;0
1301001;2019;28294;1;3,53431823
1301001;2020;28508;0;0
1301001;2021;28719;0;0
1301001;2022;29176;21;71,97696737
1301100;2014;35938;0;0
1301100;2015;36435;0;0
1301100;2016;36922;0;0
1301100;2017;37399;0;0
1301100;2018;37384;0;0
1301100;2019;37869;0;0
1301100;2020;38348;0;0
1301100;2021;38820;0;0
1301100;2022;30819;0;0
1301159;2014;27357;0;0
1301159;2015;27981;0;0
1301159;2016;28592;0;0
1301159;2017;29190;0;0
1301159;2018;29595;0;0
1301159;2019;30225;0;0
1301159;2020;30846;0;0
1301159;2021;31459;0;0
1301159;2022;19615;0;0
1301209;2014;82209;0;0
1301209;2015;83078;0;0
1301209;2016;83929;2;2,382966555
1301209;2017;84762;1;1,179773955
1301209;2018;84272;0;0
1301209;2019;85097;0;0
1301209;2020;85910;0;0
1301209;2021;86713;1;1,15322962
1301209;2022;71130;2;2,811753128
1301308;2014;26242;0;0
1301308;2015;26777;0;0
1301308;2016;27303;0;0
1301308;2017;27817;2;7,189847935
1301308;2018;28100;0;0
1301308;2019;28637;0;0
1301308;2020;29168;0;0
1301308;2021;29691;0;0
1301308;2022;24071;0;0
1301407;2014;33580;0;0
1301407;2015;34025;0;0
1301407;2016;34461;0;0
1301407;2017;34888;0;0
1301407;2018;34840;0;0
1301407;2019;35273;0;0
1301407;2020;35700;0;0
1301407;2021;36121;3;8,305417901
1301407;2022;33173;0;0
1301506;2014;18422;0;0
1301506;2015;18786;0;0
1301506;2016;19143;0;0
1301506;2017;19492;0;0
1301506;2018;19668;0;0
1301506;2019;20033;0;0
1301506;2020;20393;0;0
1301506;2021;20748;0;0
1301506;2022;17034;0;0
1301605;2014;21295;0;0
1301605;2015;20742;0;0
1301605;2016;20199;0;0
1301605;2017;19669;0;0
1301605;2018;18221;0;0
1301605;2019;17609;0;0
1301605;2020;17005;1;5,880623346
1301605;2021;16409;0;0
1301605;2022;27692;0;0
1301654;2014;15561;0;0
1301654;2015;15826;0;0
1301654;2016;16085;1;6,216972334
1301654;2017;16339;0;0
1301654;2018;16416;0;0
1301654;2019;16678;0;0
1301654;2020;16937;0;0
1301654;2021;17193;0;0
1301654;2022;13809;0;0
1301704;2014;50230;0;0
1301704;2015;51302;0;0
1301704;2016;52354;0;0
1301704;2017;53383;7;13,11278872
1301704;2018;54001;0;0
1301704;2019;55080;0;0
1301704;2020;56144;0;0
1301704;2021;57195;0;0
1301704;2022;59504;0;0
1301803;2014;26118;0;0
1301803;2015;26860;0;0
1301803;2016;27587;0;0
1301803;2017;28299;0;0
1301803;2018;28933;0;0
1301803;2019;29689;0;0
1301803;2020;30436;0;0
1301803;2021;31172;0;0
1301803;2022;24387;3;12,30163612
1301852;2014;45250;0;0
1301852;2015;45984;0;0
1301852;2016;46703;0;0
1301852;2017;47407;1;2,109393128
1301852;2018;47571;1;2,10212104
1301852;2019;48296;0;0
